标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
20-21(1)第6次线上赛,1：结巴的外星人-1,Tql在与外星人接触的过程中了解到，外星人说话的规律是每次只说3个单词，其中第1个和第3个单词都只说一遍，而第2个单词要重复m遍。Tql需要根据这样的规律把这3个单词拼凑成外星人看得懂的信号发送出去。,"多组案例，一个正整数n，表示案例的数量。（n<=20）
每组案例先是3个不含空格的字符串a、b、c，然后是一个正整数m，表示字符串b要重复的次数。（a、b、c长度均不大于10，m<=10）","针对每组案例，输出一个字符串，表示最终发出的信号。其中第1个单词后面要留一个空格，第3个单词前面也要留一个空格，重复m遍的第2个单词中间不要留空格。
每组案例输出完都要换行。",,"1
ovo tql ! 3",ovo tqltqltql !,52.81%,356,https://www.xujcoj.com/home/contest/792/problem/1,https://www.xujcoj.com/home/contest/792/problem,https://www.xujcoj.com/home/problem?keyword3=792,https://www.xujcoj.com/home/problem/detail/3099
20-21(1)第5次线上赛,5：迷路的Tql,"Tql初次来到厦门，在老城区里迷了路。老城区里有很多蜿蜒的道路，还有很多不能穿越围墙，Tql想从当前的位置回到码头，请帮忙找到一条最近的路径，并且告诉Tql要走到码头需要移动多少步。
假设把老城区看成一个a行b列的二维网格，Tql所在的位置标为1，码头的位置标为2，道路标为0，围墙标为9。Tql每一步只能向上、下、左、右的某一个方向移动一格。","多组案例。一个正整数n，表示案例的数量。（n<=20）
每组案例先是两个正整数a和b，然后是a行b列的数字字符，代表地图，其中1表示Tql所在的位置，2表示码头的位置，0表示道路，9表示不能通过的围墙。地图上只会有一格是1，也只会有一格是2。（2<=a<=10，2<=b<=10）","针对每组案例，输出一个整数，表示移动到码头最少需要多少步。如果无法移动至码头，则输出-1。
每组案例输出完都要换行。",,"2
3 4
1992
0090
9000
3 3
192
090
090","7
-1",60.00%,10,https://www.xujcoj.com/home/contest/777/problem/5,https://www.xujcoj.com/home/contest/777/problem,https://www.xujcoj.com/home/problem?keyword3=777,https://www.xujcoj.com/home/problem/detail/3033
20-21(1)第4次线上赛,4：胖胖的优惠,"某宝商家为了庆祝双12举行商品优惠活动，有两种优惠活动，作为买家，胖胖只能选择其中一种优惠。
其中之一是商品总价格每满a元则减b元，另一种是按照商品总价格打c折。（b<=a-1，1<=c<=9）
另外还要根据商品的件数支付每件d元的邮费，邮费不参与优惠活动。
已知胖胖共买了e件商品，每件商品的价格是f元，问以最优惠的方式购买商品需要花多少钱？","多组案例。一个正整数n，表示案例的数量。
每组案例由6个正整数a、b、c、d、e、f组成。
（值都不大）","针对每组案例，输出一个浮点数，表示最优惠的购买费用。输出浮点数时，不要输出无意义的0，例如浮点数的3，应输出3，而不能是3.0。
每组案例输出完都要换行。",,"2
100 50 7 1 1 5
100 50 7 1 7 50","4.5
207",56.34%,142,https://www.xujcoj.com/home/contest/765/problem/4,https://www.xujcoj.com/home/contest/765/problem,https://www.xujcoj.com/home/problem?keyword3=765,https://www.xujcoj.com/home/problem/detail/3022
20-21(1)第4次线上赛,6：落花生,小调在家里的庭院中种了许多花生。到了收获的季节，小调收获了a个花生荚果，每个荚果里含有1~3颗花生仁。小调数了一下，总共有b颗花生仁。这时有人问小调，有几个荚果里是1颗花生仁，几个荚果里是2颗花生仁，几个荚果里是3颗花生仁？由于小调剥花生的时候没有去统计，故完全不知道，只能靠推导，然而一推导就发现有很多种可能的答案。请帮忙小调算算看有多少种可能的答案。,"多组案例。一个正整数n，表示案例的数量。（n<=20）
每组案例由两个正整数a和b组成。（a<=10000，a<=b<=3a）","针对每组案例，输出一个整数，表示有多少种可能性。
每组案例输出完都要换行。","第一组案例中，只有一种可能性，10000个荚果，每个荚果都是3颗花生仁。
第二组案例中，第一种可能是1个单花生仁的荚果，2个双花生仁的荚果；第二种可能是2个单花生仁的荚果，1个三个花生仁的荚果。","2
10000 30000
3 5","1
2",43.24%,37,https://www.xujcoj.com/home/contest/765/problem/6,https://www.xujcoj.com/home/contest/765/problem,https://www.xujcoj.com/home/problem?keyword3=765,https://www.xujcoj.com/home/problem/detail/3023
20-21(1)第3次线上赛,6：最大的长方形,有m个长方形，在排除正方形的情况下，输出其中面积最大的长方形的长和宽以及面积。,"多组案例。一个正整数n，表示案例的数量。（n<=20）
每组案例中，先是一个正整数m，表示长方形（包括正方形）的数量；然后是m组数据，每组数据由两个正整数组成，表示一个长方形（也有可能是正方形）相邻两边的长度。（m<=20，面积不会超出int范围）
保证每组案例中至少有一个长方形，并且不会有多个长方形的面积并列最大。","针对每组案例，输出其中面积最大的长方形（不能是正方形）的长、宽、面积（长必须比宽大），这三个数据两两之间有一个空格。
每组案例输出完都要换行。",,"1
3
4 4
3 5
6 2",5 3 15,40.67%,209,https://www.xujcoj.com/home/contest/753/problem/6,https://www.xujcoj.com/home/contest/753/problem,https://www.xujcoj.com/home/problem?keyword3=753,https://www.xujcoj.com/home/problem/detail/3006
20-21(1)第2次线上赛,5：质数对,"把a到b范围内（包括a和b）的所有质数组成质数对，组成方法为：最小质数与最大质数组成一对，第二小质数和第二大质数组成一对，第三小质数和第三大质数组成一对，...，以此类推。这样有可能会有一个质数无法凑成质数对，那么它单独成对。
依次输出每个质数对中两个质数之和。","多组案例。一个正整数n，表示案例的数量。（n<=20）
每组案例由两个正整数a和b组成。（a<=b<=10000，a到b之间保证至少有1个质数）","针对每组案例，依次输出每个质数对中两个质数之和。每两个输出数字之间要有一个空格字符。最后一个数字后面不得有空格。
每组案例输出完都要换行。","1~10之间的质数为2、3、5、7，其中2和7是第一个质数对，和为9；3和5是第二个质数对，和为8。注意9后有一个空格，8后面没有空格。
2~18之间的质数为2、3、5、7、11、13、17，其中2和17是第一个质数对，和为19；3和13是第二个质数对，和为16；5和11是第三个质数对，和为16；7自己单独成对，和就是7。","2
1 10
2 18","9 8
19 16 16 7",57.14%,28,https://www.xujcoj.com/home/contest/741/problem/5,https://www.xujcoj.com/home/contest/741/problem,https://www.xujcoj.com/home/problem?keyword3=741,https://www.xujcoj.com/home/problem/detail/2965
20-21(1)第2次线上赛,6：校庆歌手,"为了庆祝校庆，嘉庚学院请了a名歌手来演出，并计划开b场演唱会，每场演唱会只用一名歌手。每名歌手都有各自不同的出场费，从第1名到第a名歌手的出场费分别是c1、c2、...、ca。第1场演唱会由第1名歌手负责，第2场演唱会由第2名歌手负责，...，第a场演唱会由第a名歌手负责，第a+1场演唱会又由第1名歌手负责，...，以此类推。当一名歌手不止负责一场演唱会时，每次演唱会都会得到一笔出场费。当b小于a时，会出现有的歌手没有上场的情况，那么将不会给这些歌手发出场费，而是给从没有上场的歌手每人发一笔候场费d。
学院想要计算总共要花多少费用。","多组案例。一个正整数n，表示案例的数量。（n<=20）
每组案例中，先是两个正整数a和b（a<=2000000, b<=2000000），表示歌手数量和演唱会数量；
然后是a个正整数c1、c2、...、ca，表示每名歌手的出场费（均不大于1000）；
最后是一个正整数d，表示给每名未上场歌手发放的候场费（d<=1000）。",针对每组案例，输出一个正整数，表示学院花费的总费用。每组案例输出完都要换行。,,"2
2 5
10 16
1
2 1
10 16
1","62
11",73.17%,41,https://www.xujcoj.com/home/contest/741/problem/6,https://www.xujcoj.com/home/contest/741/problem,https://www.xujcoj.com/home/problem?keyword3=741,https://www.xujcoj.com/home/problem/detail/2963
20-21(1)第1次线上赛,6：最近的坐标点,在平面直角坐标系中依次给出3个坐标点的x轴和y轴值，输出其中离原点最近的坐标点的x轴和y轴值。,"只有一组案例。
分三行，每行表示一个坐标点的信息，每行由两个浮点数a和b组成，表示该点在平面直角坐标系中的坐标是(a,b)。（a和b的绝对值均不大于10000）",按坐标点在数学中的格式输出两个浮点数（参考样例输出格式），表示离原点最近的坐标点的x轴和y轴值。不要换行。,输出中的括号和逗号都是英文输入法状态下的符号，逗号前后都没有空格,"1.5 2.5
1 2
-3 4","(1,2)",43.51%,285,https://www.xujcoj.com/home/contest/713/problem/6,https://www.xujcoj.com/home/contest/713/problem,https://www.xujcoj.com/home/problem?keyword3=713,https://www.xujcoj.com/home/problem/detail/2927
厦大附中线上赛（2020/9/6）,1：求和,一个大小为n的数组（1<=n<=1000000），存有n个数字a[i]（1<=i<=n，1<=a[i]<=1000000），然后进行Q次查询（1<=Q<=100000），每次查询提供L和R，要求输出sum=a[L]+2*a[L+1]+3*a[L+2]+...+(R-L+1)*a[R]（1<=L<=R<=n）,"只有一组案例。
两个正整数n和Q，表示数组大小和查询次数，
然后是n个整数，表示数组各个元素的值，
接下来的Q行，每行由两个整数L和R组成，表示一次查询。",输出每次查询的结果，每个查询结果输出完都要换行。,,"5 3
1 2 3 4 5
3 4
2 2
1 5","11
2
55",44.44%,18,https://www.xujcoj.com/home/contest/698/problem/1,https://www.xujcoj.com/home/contest/698/problem,https://www.xujcoj.com/home/problem?keyword3=698,https://www.xujcoj.com/home/problem/detail/2902
厦大附中线上赛（2020/9/6）,2：四边形,"已知四条线段的长度，问以这四条线段为边，是否有可能构成四边形？
判定规则：两条最短边之和应大于剩下两条边之差。","一个正整数T，表示案例的数量。（T<=30）
每组案例由四个整数a、b、c、d组成，表示四条线段的长度。（1<=a,b,c,d<=10000）","针对每组案例，如果四条线段能构成四边形，则输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
1 2 3 4
1 2 5 10","Yes
No",66.67%,18,https://www.xujcoj.com/home/contest/698/problem/2,https://www.xujcoj.com/home/contest/698/problem,https://www.xujcoj.com/home/problem?keyword3=698,https://www.xujcoj.com/home/problem/detail/2910
厦大附中线上赛（2020/9/6）,4：质数的和,"Alice想把一个不大于100000的数分解成多个（至少2个）不同的质数的和，请帮她看看有多少种不同的分解方法。因为方法数量可能非常多，因此要求输出该值除以100000007的余数。
质数是大于等于2，且只有1和自身两个因数的整数。","一个正整数T，表示案例的数量。（T<=1000）
每组案例中，有一个正整数n，表示待分解的数。（1<=n<=100000）","针对每组案例，输出一个整数，表示n能分解成至少两个不同质数之和的方案数量除以100000007的余数。注意5=2+3和5=3+2是同一种方案。
每组案例输出完都要换行。","5=2+3，但不能5=5，因为要求至少2个不同质数之和。
14=3+11，14=2+5+7，但不能14=7+7，因为质数必须不同。","2
5
14","1
2",50.00%,4,https://www.xujcoj.com/home/contest/698/problem/4,https://www.xujcoj.com/home/contest/698/problem,https://www.xujcoj.com/home/problem?keyword3=698,https://www.xujcoj.com/home/problem/detail/2907
厦大附中线上赛（2020/8/16）,1：土地,有一块N*N大小的土地（1<=N<=250），每一小块土地都对应着一个价值v（0<=v<=250）。现在有Q次查询（1<=Q<=100000），每次查询针对一块固定大小为M*M的土地（1<=M<=N），但这块M*M土地的起始左上角位置会随着每次查询而改变。求这块M*M土地上，最大价值的小块土地减去最小价值的小块土地的结果。,"只有一组案例。
先是三个整数N、M、Q（1<=N<=250，1<=M<=N，1<=Q<=100000）
然后是N行N列个整数，表示每小块土地的价值（0~250之间）
最后是Q行，每行两个数字，代表查询土地左上角的行和列值（土地的行和列值从第1行和第1列开始算起）","针对每次查询，输出一个整数，表示范围内的最大价值减最小价值的结果。
每次查询输出结果后都要换行。","有1次查询，第3行第2列（数字4）为左上角，边长为2的土地是
4 3
1 1
其中最大值是4，最小值是1，相减得3","5 2 1
1 2 3 4 5
1 2 3 4 5
5 4 3 2 1
1 1 1 1 1
2 2 2 2 2
3 2",3,57.14%,21,https://www.xujcoj.com/home/contest/697/problem/1,https://www.xujcoj.com/home/contest/697/problem,https://www.xujcoj.com/home/problem?keyword3=697,https://www.xujcoj.com/home/problem/detail/2893
厦大附中线上赛（2020/8/16）,3：阔绰的国王,国王为了奖励两个有功劳的将军，拿出了两个国际象棋棋盘，在每个棋盘都分别做了如下操作：在第一格放了1粒米，然后第二格放了2粒米，第三格放了4粒米，第四格放了8粒米，...，第64格放了2^63粒米。然后让两位将军各自针对属于自己的那一个棋盘，取走其中若干格里放置的所有米。两位将军有各自喜欢的数字和不喜欢的数字，所以取走米的格子可能不尽相同。已知两位将军各自取走的米粒数量，求共有几格的米两位将军都选择了取走？,"一个正整数n，表示案例的数量。
每组案例由两个整数a和b组成（a<=2^64-1，b<=2^64-1），a表示第一位将军取走的米粒总数，b表示第二位将军取走的米粒总数。","针对每组案例，输出一个整数，表示共同选择取走米粒的格子的数量。
每组案例输出完要换行。",第一个将军取走了第一、三、四格，共获得1+4+8=13粒米。第二个将军取走了第一、二、三格，共获得1+2+4=7粒米。两位共同取走米粒的格子是第一、三格，共2个格子，故答案是2。,"1
13 7",2,40.91%,44,https://www.xujcoj.com/home/contest/697/problem/3,https://www.xujcoj.com/home/contest/697/problem,https://www.xujcoj.com/home/problem?keyword3=697,https://www.xujcoj.com/home/problem/detail/2896
厦大附中线上赛（2020/8/16）,8：国际象棋,在国际象棋中，“车”是一种可以上下或者左右方向移动的棋子。棋盘上面有一些墙，可以阻止墙两侧同一行或者同一列的两个“车”互相攻击。现在要求在棋盘上放置尽可能多的车（不能放在墙上），必须保证任意两个“车”之间都不能互相攻击到。,"一个正整数T，表示案例的数量。（T<=10）
每组案例先是一个正整数n，表示棋盘的大小是n*n。（n<=4）
然后是n行n列字符，每个字符要么是'.'表示棋盘，要么是'X'表示墙。","针对每组案例，输出一个整数，表示棋盘上最多可以放置的“车”的数量。
每组案例输出完要换行。",,"2
4
.X..
....
XX..
....
2
XX
.X","5
1",40.00%,15,https://www.xujcoj.com/home/contest/697/problem/8,https://www.xujcoj.com/home/contest/697/problem,https://www.xujcoj.com/home/problem?keyword3=697,https://www.xujcoj.com/home/problem/detail/2901
19-20(2)第6次线上赛,1：快乐位运算-3,"把一个无符号
整数
的二进制形式的前16位和后16位交换，形成一个新的无符号整数，输出该数。","多组案例。
一个正整数n，表示案例的数量。
每组案例中，只有一个无符号整数。",每组案例，输出一个无符号整数，表示变换后的数。输出完换行。,,"1
1570897999",你猜，是情侣之间经常说的一个数字暗语。,40.46%,131,https://www.xujcoj.com/home/contest/690/problem/1,https://www.xujcoj.com/home/contest/690/problem,https://www.xujcoj.com/home/problem?keyword3=690,https://www.xujcoj.com/home/problem/detail/2873
19-20(2)第6次线上赛,2：对称图形,"用一个数字矩阵（二维数组）表示图像，数组每个元素表示图像对应位置像素点的色彩，值相同表示色彩相同。图像有时会是上下对称或者左右对称，也有可能既上下对称也左右对称。
给定一个二维数组，判断其表示图像的对称性。","多组案例。
一个正整数n，表示案例的数量。
每组案例中，第一行是正整数a和b，表示二维数组的行数和列数。（a<=10, b<=10）
然后是a行数据，每行数据由b个非负整数组成，表示二维数组每个元素的值，也就是
图像在
对应位置的色彩。",每组案例，如果图像仅是左右对称，那么输出L-R；如果仅是上下对称，那么输出U-D；如果既是左右对称又是上下对称，那么输出Both；如果都不对称，那么输出None。输出后换行。,,"2
2 2
3 5
3 5
2 3
1 2 1
1 2 1","U-D
Both",48.80%,250,https://www.xujcoj.com/home/contest/690/problem/2,https://www.xujcoj.com/home/contest/690/problem,https://www.xujcoj.com/home/problem?keyword3=690,https://www.xujcoj.com/home/problem/detail/2869
19-20(2)第6次线上赛,3：lo养成计划,"某位同学喜欢lo装，为了达到心目中理想的造型，她购置了10种不同的装饰物，每种装饰物都买了很多件（保证肯定够用）。
她把每种装饰物都分别选择了1~3件佩戴在身上，并且佩戴都相当合理，可以用装饰物的总数量表示lo装的优美程度。
这位同学期待配置出优美程度为m的lo装，请问有多少种不同的装饰物选择方案？","多组案例。
一个正整数n，表示案例的数量。
每组案例中，只有一个正整数m（含义见【描述】）。（m<=5000）",每组案例，输出一个整数，表示选择方案的数量。输出后换行。,,"2
50
11","0
10",44.74%,38,https://www.xujcoj.com/home/contest/690/problem/3,https://www.xujcoj.com/home/contest/690/problem,https://www.xujcoj.com/home/problem?keyword3=690,
19-20(2)第6次线上赛,4：最长对称子串,"如果一个字符串从左向右读和从右向左读是一样的，那么称此字符串是对称的。
给定一个字符串，想要在该字符串中找到一个长度最长的对称的子字符串。","多组案例。
一个正整数n，表示案例的数量。
每组案例中，只有一个不含空格、制表符等特殊符号的字符串。（字符串长度<=100）",每组案例，输出一个正整数，表示最大对称子字符串的长度。输出后换行。,"第一组案例的最大对称子串是abacaba
第二组案例的最大对称子串是其中任意单个字符","2
xabacabad
abcdefg","7
1",40.69%,145,https://www.xujcoj.com/home/contest/690/problem/4,https://www.xujcoj.com/home/contest/690/problem,https://www.xujcoj.com/home/problem?keyword3=690,https://www.xujcoj.com/home/problem/detail/2871
19-20(2)第6次线上赛,5：身高排序,"涂涂想把参加竞赛的队员们按身高从低到高排序排成一列纵队，也就是任意
一对
相邻的队员，排前面的队员身高总是小于等于后面的队员。
但他不想把这个问题变得如此简单，于是他给了自己一个例外的特权，允许在排序时，可以最多存在一对相邻的
队员
，排在前面的
队员
反而比后面的
队员
高。
已知所有队员的身高，问涂涂有多少种合理的排队方法？
注意：如果两个队员身高相同，他们之间交换位置，也算作另一种排队方法。涂涂可以选择不使用特权，就按顺序排序。","多组案例。
一个正整数n，表示案例的数量。
每组案例中，第一行是正整数m，表示队员的数量。第二行是m个正整数，表示每个队员的身高。（m<=10）",每组案例，输出一个正整数，表示合理的排队方法数量。输出后换行。,"第一组案例，合法的排序有：170 180 185、170 185 180、180 170 185、180 185 170、185 170 180
第二组案例，合法的排序有：175(1) 175(2) 190、175(2) 175(1) 190、175(1) 190 175(2)、175(2) 190 175(1)、190 175(1) 175(2)、190 175(2) 175(1)","2
3
170 180 185
3
175 175 190","5
6",40.00%,10,https://www.xujcoj.com/home/contest/690/problem/5,https://www.xujcoj.com/home/contest/690/problem,https://www.xujcoj.com/home/problem?keyword3=690,https://www.xujcoj.com/home/problem/detail/2870
19-20(2)第4次线上赛,1：现在几点了？,输出现在的时间（精确到分钟）,无,现在的时间（格式见样例）,看右下角,,2020/4/18 15:00,51.11%,315,https://www.xujcoj.com/home/contest/673/problem/1,https://www.xujcoj.com/home/contest/673/problem,https://www.xujcoj.com/home/problem?keyword3=673,https://www.xujcoj.com/home/problem/detail/2812
19-20(2)第4次线上赛,2：paper-cut,"罗少有一张长方形的纸，他每次都会把这张纸剪成面积相同的两半（这两半也都是长方形），然后丢掉其中的一半。
罗少总共这样做了 n 次，最后剩下一张长为 a，宽为 b 的长方形，现在请你猜想一下，刚开始的那张纸的周长最短可能是多少。","第一行是一个正整数 T 代表测试案例的数量。(1 <= T <= 1000)
每组案例包含三个正整数 n、a、b 含义如描述所述。(1 <= n、a、b <= 10)",针对每组案例，输出刚开始的那张纸的周长最短可能是多少，然后换行。,"刚开始的那张纸可能是 
长为4宽为4的长方形
 或 
长为8宽为2的长方形
。
(4 + 4) × 2 < (8 + 2) × 2，所以周长最短可能为16。","1
1 4 2",16,46.47%,269,https://www.xujcoj.com/home/contest/673/problem/2,https://www.xujcoj.com/home/contest/673/problem,https://www.xujcoj.com/home/problem?keyword3=673,
19-20(2)第3次线上赛,1：异或运算-3,这道题目很简单，你只需要输出 n 个 n 按位异或的结果就可以了。,"第一行是一个正整数 T 代表测试案例的数量。(1 ≤ T ≤ 1000)
每组案例包含一个正整数 n。(1 ≤ n ≤ 1e9)",针对每组案例，输出 n 个 n 按位异或的结果，然后换行。,3 ^ 3 ^ 3 = 3,"1
3",3,45.56%,417,https://www.xujcoj.com/home/contest/666/problem/1,https://www.xujcoj.com/home/contest/666/problem,https://www.xujcoj.com/home/problem?keyword3=666,https://www.xujcoj.com/home/problem/detail/2787
19-20(2)第3次线上赛,4：最后一根稻草,"Alice和Bob拿了一堆稻草玩游戏，规定由Alice开始依次轮流拾取一些稻草。每个人每次要么可以拿走一根，要么如果稻草数量是偶数根，还可以选择拿走其中的一半（即如果当前稻草是奇数根，则不能选择拿走一半，只能选择拿走一根）。如果有人拿到了最后一根稻草则获胜。
假设最开始稻草有m根，且Alice和Bob足够聪明，每次都可以做出最正确的选择，那么谁能取胜？","一个正整数n，表示案例的数量。（n<=20）
每组案例由一个正整数m组成，表示稻草的初始数量。（m<=100000）","针对每组案例，如果Alice获胜，则输出Alice，如果Bob获胜，则输出Bob。
每组案例输出完都要换行。",,"2
1
5","Alice
Bob",48.73%,275,https://www.xujcoj.com/home/contest/666/problem/4,https://www.xujcoj.com/home/contest/666/problem,https://www.xujcoj.com/home/problem?keyword3=666,https://www.xujcoj.com/home/problem/detail/2794
19-20(2)第2次线上赛,1：线上赛打卡题3-星号阵列,输出一个边长为 m 的正六边形。,一个正整数 m 代表正六边形的边长。(2 <= m <= 20),一个边长为 m 的正六边形，每行最后一个星号后面没有空格，最后一行输出完成以后也要换行。,,3,"  ***
 *   *
*     *
 *   *
  ***",57.24%,297,https://www.xujcoj.com/home/contest/653/problem/1,https://www.xujcoj.com/home/contest/653/problem,https://www.xujcoj.com/home/problem?keyword3=653,https://www.xujcoj.com/home/problem/detail/2780
19-20(2)第1次线上赛,1：菱形阵列,输出一个边长为m个星号的空心菱形。,"只有一组案例。
一个正整数m（2<=m<=15），表示菱形的边长是m个星号。",边长为m个星号的空心菱形。每行最后一个星号后面不能有多余的空格，最后一行星号输出后需要换行。,,4,,60.32%,315,https://www.xujcoj.com/home/contest/641/problem/1,https://www.xujcoj.com/home/contest/641/problem,https://www.xujcoj.com/home/problem?keyword3=641,https://www.xujcoj.com/home/problem/detail/2770
19-20(2)第1次线上赛,2：字符串扩充,"把一个字符串几乎原样输出，但是其中如果遇到数字字符，那么该字符需要重复输出该数字那么多遍。
如果遇到数字字符0，则不要输出该字符。","一个正整数n，表示测试案例的数量。
每组案例由一个不含空格、tab的字符串组成。","针对每组案例，把字符串几乎原样输出，但是其中如果遇到数字字符，那么该字符需要重复输出该数字那么多遍。如果遇到数字字符0，则不要输出该字符。
每组案例输出完都要换行。",,"1
ab3c2",ab333c22,55.56%,270,https://www.xujcoj.com/home/contest/641/problem/2,https://www.xujcoj.com/home/contest/641/problem,https://www.xujcoj.com/home/problem?keyword3=641,https://www.xujcoj.com/home/problem/detail/2773
19-20(1)第4次线上赛,1：格式输出,输出一个正整数a，如果a的位数不到m位，则输出时需要在a前面补若干个0，以达到m位；如果a达到或者超过m位，则直接输出a。," 一个正整数n，表示有n组案例。（n<=20）
每组案例由一个正整数a和一个正整数m组成。 ","针对每组案例，如果a的位数不到m位，则输出时需要在a前面补若干个0，以达到m位；如果a达到或者超过m位，则直接输出a。
每组案例输出完毕后都要换行。", ,"2
1234 6
1234 3 ","001234
1234
 ",67.71%,223,https://www.xujcoj.com/home/contest/602/problem/1,https://www.xujcoj.com/home/contest/602/problem,https://www.xujcoj.com/home/problem?keyword3=602,https://www.xujcoj.com/home/problem/detail/2669
19-20(1)第4次线上赛,2：猜数字,"涂涂和lyf玩猜数字的游戏。lyf心里想了一个4位的正整数，保证每位上的数字互不相同，而且可以以0作为最高位（例如0754）。涂涂可以多次尝试猜测lyf想的数字究竟是多少。 
每次猜测时，涂涂会报一个数字，然后lyf会根据涂涂猜测的情况回答xAyB，其中x表示有多少个数字猜对了，而且数字的位置也是对的；y表示有多少个数字猜对了，而且数字的位置是错的。
例如当lyf想的数字是0754，涂涂猜的数字是5780，那么lyf回答是1A2B。其中数字7猜对了，而且7的位置也是对的（百位数上），所以是1A。而数字0和数字5也猜对了，但0和5出现的位置都与答案不一致，所以是2B。
经过涂涂一系列的猜测后，涂涂就可能推断出lyf想的数字是多少了，但涂涂那天要准备CET考试，没时间思考问题，请写段代码帮涂涂回答。","一个正整数n，表示有n组案例。
每组案例先是一个正整数m，表示涂涂猜了几次。然后是m行数据，每行数据是一个四位正整数a和四个字符组成的字符串b。（m<=20, a保证各位数字都不相同，b是形如xAyB的形式，其中x和y是0~4之间的整数，且x+y<=4）","针对每组案例，如果可以推断出lyf想的4位正整数是多少，那么输出该正整数（注意如果千位数是0，那么也要输出这个0）；如果无解，那么输出-1；如果不止一个解，则输出-2。
每组案例输出完都要换行。 ",,"3
1
1234 0A0B
2
1234 3A1B
5678 2A1B
2
3210 2A2B
3120 0A4B","-2
-1
0213
 ",100.00%,3,https://www.xujcoj.com/home/contest/602/problem/2,https://www.xujcoj.com/home/contest/602/problem,https://www.xujcoj.com/home/problem?keyword3=602,https://www.xujcoj.com/home/problem/detail/2670
19-20(1)第4次线上赛,5：双向箭头,"根据a和b的值输出由*组成的双向箭头形状。
其中a是正奇数，代表图案有几行；
b是正整数，代表双向箭头中间的横线有多长。",只有一组案例，由两个正整数a和b组成。,根据a和b的值输出由*组成的双向箭头形状。每行最后不要有多余空格。最后一行星号输出完有个换行。,, 5 3,,60.54%,147,https://www.xujcoj.com/home/contest/602/problem/5,https://www.xujcoj.com/home/contest/602/problem,https://www.xujcoj.com/home/problem?keyword3=602,
19-20(1)第3次线上赛,1：HCZ的头发,"HCZ的头发每天增加a厘米长度，当某一天头发增加后的长度大于等于b厘米时，HCZ会在当天就去理发，使得头发变成一半的长度。（如果遇到除成小数，则保留整数部分，例如9厘米的头发剪完，变成4厘米）
已知HCZ的初始头发长度为c厘米，求经过d天后，HCZ头发的长度。","一个正整数n，表示有n组案例。
每组案例由4个正整数a、b、c、d组成，其中a<=10, b<=100, c<=b-1, d<=100。","针对每组案例，输出一个正整数，表示
HCZ头发最终的长度。
每组案例输出完都要换行。","第1天结束时，头发长度6
第2天结束时，头发长度8
第3天结束时，头发长度5
第4天结束时，头发长度7
第5天结束时，头发长度4","1
2 9 4 5",4,53.87%,349,https://www.xujcoj.com/home/contest/583/problem/1,https://www.xujcoj.com/home/contest/583/problem,https://www.xujcoj.com/home/problem?keyword3=583,https://www.xujcoj.com/home/problem/detail/2644
19-20(1)第3次线上赛,5：正方形的数量,"有一个a行b列的网格，其中每个1*1的格子都是同样大小的正方形。问总共有多少个正方形。（注意不仅仅是1*1的a*b个
正方形
）","一个正整数n，表示案例的数量。
每组案例由两个正整数a、b组成，其中a<=10000, b<=10000","针对每组案例，输出一个整数，表示矩形的数量。
每组案例输出完都要换行。",,"3
1 2
2 2
10000 9000","2
5
283545001500",52.83%,159,https://www.xujcoj.com/home/contest/583/problem/5,https://www.xujcoj.com/home/contest/583/problem,https://www.xujcoj.com/home/problem?keyword3=583,https://www.xujcoj.com/home/problem/detail/2647
19-20(1)第3次线上赛,6：三天花完的钱,"涂涂拿了a元奖学金，计划三天之内花光。每天花的钱都是个正整数，并且第一天花钱<第二天花钱<第三天花钱。
问总共有多少种不同的花法。","一个正整数n，表示有n组案例。（n<=10）
每组案例由一个正整数a构成。（
a<=1500
）","针对每组案例，输出一个整数，表示
有多少种不同的花法。
每组案例输出完都要换行。","1+2+5
1+3+4","1
8",2,56.03%,141,https://www.xujcoj.com/home/contest/583/problem/6,https://www.xujcoj.com/home/contest/583/problem,https://www.xujcoj.com/home/problem?keyword3=583,https://www.xujcoj.com/home/problem/detail/2645
19-20(1)第1次线上赛,3：反向输出四位数,把一个四位正整数反向输出,一个四位正整数,"反向输出这个四位数，也就是个位数、十位数、百位数、千位数的顺序。不用管反向后是否0开头的问题。
不要换行。",,1280,0821,63.54%,362,https://www.xujcoj.com/home/contest/546/problem/3,https://www.xujcoj.com/home/contest/546/problem,https://www.xujcoj.com/home/problem?keyword3=546,https://www.xujcoj.com/home/problem/detail/2539
19-20(1)第1次线上赛,4：等差数列,已知一个等差数列第a项的值是b，第c项的值是d，输出该数列第n项的值,"五个整数a、b、c、d、n，含义见【描述】（a>0, c>0, n>0, a≠c)。
保证数列的每一项都是整数。","一个整数，表示第n项数列的值。
不要换行。",,2 3 3 5 4,7,64.81%,341,https://www.xujcoj.com/home/contest/546/problem/4,https://www.xujcoj.com/home/contest/546/problem,https://www.xujcoj.com/home/problem?keyword3=546,https://www.xujcoj.com/home/problem/detail/2540
